Chain,Volume (USD),Percentage
Ethereum_abs,16631649215.337566,46.98283468756347
Arbitrum_abs,8100738966.170033,22.88382076647506
Avalanche_abs,2471136119.7883997,6.9807256215708335
BSC_abs,2060814989.5743198,5.821607269562528
Solana_abs,1908501458.3933487,5.391335961918829
Sei_abs,762257877.0391397,2.1533063475867746
Optimism_abs,745377983.2404754,2.105622245450054
Polygon_abs,504603093.3832437,1.425455973265421
Sui_abs,292486348.4013159,0.8262462475841248
Sonic_abs,254868425.5846909,0.7199791765258238
Other Chains (82 Chains),1666981769.3362827,4.709065702497081
