Timestamp,Date,USDT0,Hyperliquid,Across,Stargate,Meson,deBridge,Mantle Bridge,IBC,Everclear,Gnosis Bridge,Optimism Gateway,Polygon PoS Bridge,Interport Finance,Lighter,Allbridge Core,Garden,Squid (Powered by Axelar),Symbiosis,Orbiter Finance,Threshold Network,Celer cBridge,Axelar,Satellite (Powered by Axelar),Wan Bridge,Sui Bridge,Layerswap,Avalanche Bridge,Nitro (by Router Protocol),rhino.fi,Eywa,Core Bitcoin Bridge,yBridge by xSync Network,PowPeg Fast Mode (Flyover),Synapse,Arbitrum Bridge,oooo,Movement,Base Bridge,Polygon zkEVM Bridge,Manta Pacific Bridge,Eclipse Canonical Bridge,zkBridge,Owlto,Hop,RetroBridge,Rootstock Token Bridge,Pheasant Network,ZKsync Era Bridge,FastBTC,Zircuit Bridge,UniversalX,XSwap,MeMeBridge,MES Protocol,Mint,Fuel,Rainbow Bridge,Fuse Bridge,Allbridge Classic,Mode Network,pNetwork,Bunnyfi,Rootstock Powpeg Bridge,MiniBridge,Helixbox,Asset Chain Bridge,CometBridge,Crowdswap,Shimmer Bridge,Connext,TRAIN Protocol,LayerZero,Circle CCTP,Wormhole,Hyperlane,Total
1665964800,2022-10-17,,,,,,,,,,,417069.62012913096,134541.45909997504,,,,,,,,,,,,,,,11743686.803456198,,,,,,,,250693.8262791884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12545991.708964491
1666051200,2022-10-18,,,,,,,,,,,9350076.059840443,71120486.98362863,,,,,,,,,,,,,,,13153692.980061004,,,,,,,,1616607.053477889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95240863.07700796
1666137600,2022-10-19,,,,,,,,,,,1296316.1592524184,62732951.228819534,,,,,,,,,,,,,,,3890110.0007482097,,,,,,,,8026438.285037854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75945815.67385803
1666224000,2022-10-20,,,,,,,,,,,6600089.382110067,10965035.10056198,,,,,,,,,,,,,,,11513657.517069228,,,,,,,,1640262.4250013744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30719044.42474265
1666310400,2022-10-21,,,,,,,,,,,2295483.5265091592,23829366.162965566,,,,,,,,,,,,,,,3989191.320841315,,,,,,,,7129503.535962498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37243544.54627854
1666396800,2022-10-22,,,,,,,,,,,1261595.4210094998,2694253.896890511,,,,,,,,,,,,,,,720210.1332449823,,,,,,,,17635781.55085703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22311841.002002023
1666483200,2022-10-23,,,,,,,,,,,1039060.7637196133,2575550.2181926994,,,,,,,,,,,,,,,3797250.613470379,,,,,,,,1502722.8193054637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8914584.414688155
1666569600,2022-10-24,,,,,,,,,,,4189157.0354689863,6943877.950555658,,,,,,,,,,,,,,,954593.7657926593,,,,,,,,4309949.130911687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16397577.88272899
1666656000,2022-10-25,,,,,,,,,,,12090985.21350032,6772838.697922112,,,,,,,,,4510713.611022127,,,,,,2772941.4005973847,,,,,,,5978331.0028825095,4672269.142696783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36798079.06862123
1666742400,2022-10-26,,,,,,,,,,,7755703.346535685,29861721.411282934,,,,,,,,,5582364.881183453,,,,,,3066702.033482191,,,,,,,6762811.405762667,23357707.90023542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76387010.97848235
1666828800,2022-10-27,,,,,,,,,,,22012373.170546174,11740587.252839306,,,,,,,,,5353164.67757917,,,,,,4582337.92651201,,,,,,,4576705.38311809,6736902.285453778,,,,,,,,,6604137.008015569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61606207.7040641
1666915200,2022-10-28,,,,,,,,,,,5490896.502975494,5494858.226971063,,,,,,,,,5012176.838439396,,,,,,6357223.994118938,,,,,,,4227729.609687795,6690460.464166629,,,,,,,,,5903571.761951645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39176917.39831096
1667001600,2022-10-29,,,,,,,,,,,5468305.373606116,7181899.045876423,,,,,,,,,4551979.002764093,,,,,,2846133.436647428,,,,,,,6710622.024526611,4692864.853202457,,,,,,,,,2998254.998865784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34450058.73548891
1667088000,2022-10-30,,,,,,,,,,,5974080.099374467,4273296.008264921,,,,,,,,,3585311.4035987942,,,,,,885457.1590930127,,,,,,,3683178.2635763027,6988266.003455357,,,,,,,,,2398508.0658734953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27788097.00323635
1667174400,2022-10-31,,,,,,,,,,,6421225.561322667,6668724.302908634,,,,,,,,,6417002.475422539,,,,,,5513049.011025794,,,,,,,3573090.0801415746,2884872.2945282124,,,,,,,,,4167489.62073353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35645453.34608295
1667260800,2022-11-01,,,,4735265.314480023,,,,,,421763.3971481249,2569728.5256125517,10002518.425519781,,,,,,,,,6253577.652477097,,,,,,3662674.2996105636,,,,,,,4240453.403389495,4316500.979460497,,,,,,,,,4637810.6764044035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40840292.67410254
1667347200,2022-11-02,,,,6404809.372857768,,,,,,225521.53919468087,1566202.8522629873,6639542.49726769,,,,,,,,,5196744.646775879,,,,,,2098471.8018023027,,,,,,,5342728.825710618,2477810.53081185,,,,,,,,,2361600.931285039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32313432.997968815
1667433600,2022-11-03,,,,11258166.085254582,,,,,,325560.1206558622,33984492.13847504,9889711.53799336,,,,,,,,,4484149.7964920765,314026.0045696733,,,,,2185667.2340079467,,,,,,,4941194.923875118,2629705.2166348645,,,,,,,,,3945299.766083581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73957972.82404211
1667520000,2022-11-04,,,,6926268.43508023,,,,,,266166.5842270906,3078892.7225953517,11871589.809048867,,,,,,,,,5944885.169880896,740981.2878717119,,,,,3885442.9599583154,,,,,,,6750289.138273697,5163521.614178544,,,,,,,,,3300967.3104240955,,,,,,,,,,,,,919442.0295124892,,,,,,,,,,,,,,,,,,,48848447.06105129
1667606400,2022-11-05,,,,8437903.976463212,,,,,,83856.37027545314,2778356.768206325,8313919.883447122,,,,,,,,,3972939.3781456836,,,,,,2644457.1519662826,,,,,,,6663066.163692431,3858548.994505535,,,,,,,,,2464423.3247438297,,,,,,,,,,,,,780903.9115780088,,,,,,,,,,,,,,,,,,,39998375.92302388
1667692800,2022-11-06,,,,5755843.233179527,,,,,,255176.62984481943,1616051.0845161392,5563812.414388817,,,,,,,,,3003403.4628767837,,,,,,3363827.3374750996,,,,,,,3496253.0960094966,5217244.724938348,,,,,,,,,3491626.218487816,,,,,,,,,,,,,836080.6481839962,,,,,,,,,,,,,,,,,,,32599318.849900845
1667779200,2022-11-07,,,5428691.007118503,5996807.670767095,,,,,,165308.74222393165,16434281.476035714,15044414.303791769,,,,,,,,,5250590.934515591,,,,,,2669212.6166410437,,,,,,,5743839.208559643,3840962.7301433533,,,,,,,,,2417956.1202628626,,,,,,,,,,,,,509558.8140525847,,,,,,,,,,,,,,,,,,,63501623.624112085
1667865600,2022-11-08,,,8429325.985521713,7925349.93657339,,,,,,895829.6000796634,4059522.1497404445,14143853.646611365,,,,,,,,,7017602.592030186,,,,,,8018035.715139705,,,,,,,14641926.09316307,6822867.9627683945,,,,,,,,,4625393.80735302,,,,,,,,,,,,,8142228.618244274,,,,,,,,,,,,,,,,,,,84721936.10722522
1667952000,2022-11-09,,,6075642.716524209,54382079.119851395,,,,,,13336798.244754586,7603136.9308411535,23514474.547324233,,,,,,,,,11581125.155593142,,,,,,21122967.534182254,,,,,,,21224713.619329814,7096686.553550698,,,,,,,,,8045808.273043133,,,,,,,,,,,,,1772897.908207899,,,,,,,,,,,,,,,,,,,175756330.6032025
1668038400,2022-11-10,,,3966023.3141845786,76855642.4283653,,,,,,8599472.356391642,15134905.752150193,30547956.843817275,,,,,,,,,18557656.41921462,,,,,,17182680.5550099,,,,,,,19755284.49166017,3815084.3326148614,,,,,,,,,5944369.384486164,,,,,,,,,,,,,9044015.487637604,,,,,,,,,,,,,,,,,,,209403091.3655323
