Name,Year,Month
Abstract,2025,1
Aleph Zero,2024,11
Ancient8,2024,3
ApeChain,2024,10
AppChain,2024,12
Arbitrum One,2023,10
Arbitrum Nova,2024,10
Artela,2025,1
Arthera,2024,12
Astar,2024,8
Aurora,2024,12
Avalanche,2023,10
B3,2024,10
Base,2023,10
Berachain,2025,2
Bitlayer,2024,8
Blast,2024,4
BOB,2024,6
Boba Mainnet,2024,11
BounceBit,2025,2
BNB Chain,2023,10
B2 Network,2024,11
Celo,2023,10
CheeseChain,2024,7
Chiliz,2024,11
Conflux eSpace,2024,12
Conwai,2024,12
Core,2024,8
Corn,2024,12
Cyber,2024,8
Deep Brain Chain,2025,3
Degen,2024,8
Dogechain,2024,8
DuckChain,2024,11
Eclipse,2024,9
Endurance,2024,7
Ethereum,2023,10
Everclear Hub,2024,10
Evmos EVM,2024,12
Flame,2024,11
Flare,2024,8
Flow,2024,11
Form,2024,12
Fraxtal,2024,6
Fuse,2024,7
Glue,2025,1
Gnosis,2023,10
Gravity,2024,10
Guru Network,2025,1
Harmony One,2024,10
Hemi Network,2025,1
Hyperliquid,2025,2
Immutable zkEVM,2024,11
Injective,2024,1
Ink,2024,12
Kaia,2024,10
Kroma,2024,8
Linea,2024,6
Lisk,2024,8
LUKSO,2024,8
Lumia Prism,2024,11
Manta Pacific,2023,10
Mantle,2024,6
Matchain,2025,1
Merlin,2024,8
Metal,2024,11
Metis,2024,8
Mint,2024,8
Mode,2024,4
Molten,2024,8
Moonbeam,2023,10
Morph,2024,10
Nero,2025,1
Nibiru,2025,3
Oort,2024,9
opBNB,2025,3
Optimism,2023,10
Orderly,2024,10
Plume,2025,3
Polygon PoS,2023,10
Polygon zkEVM,2023,10
Polynomial,2024,11
Prom,2024,11
PoP Apex,2024,8
RARI Chain,2024,11
Reactive Mainnet,2025,3
re.al,2024,8
Redstone,2024,5
Rivalz,2024,12
Ronin,2025,2
Rootstock,2024,11
Sanko,2024,8
Scroll,2023,10
Sei,2024,6
Shibarium,2024,8
SNAXchain,2024,10
Solana,2024,8
Soneium,2024,12
Sonic,2024,12
Soon,2025,1
Sophon,2025,2
Story,2025,2
Subtensor,2025,1
Superposition,2024,11
Superseed,2024,11
Swell,2024,11
Taiko,2024,6
Tangle,2024,8
Telos,2024,12
Treasure,2024,12
TRUMPChain,2025,1
Unichain,2024,11
Unit Zero,2025,1
Vana,2024,11
Viction,2023,12
World Chain,2024,7
Xai,2024,8
X Layer,2024,7
XPLA,2025,1
ZERO Network,2024,10
ZetaChain,2024,5
Zircuit,2024,8
zkLink Nova,2024,12
zkSync,2024,10
Zora,2024,7
