Name,Ticker,Year,Type
Deri,DERI,2023,Optimistic Rollup
Forta,FORT,2025,Optimistic Rollup
Bug Buster,NONE,2024,Optimistic Rollup
EDU Chain,EDU,2025,Optimium
zkLink Nova,ZKL,2024,Validium
Sanko,NONE,2024,Optimium
WINR,NONE,2024,Optimium
Degen Chain,DEGEN,2024,Optimium
Superposition,NONE,2024,Optimium
RARI Chain,RARI,2024,Optimium
PoP Apex,NONE,2024,Optimium
PoP Boss,NONE,2024,Optimium
Geist,NONE,2024,Optimium
Huddle01,NONE,2024,Optimium
Molten,MOLTEN,2024,Optimium
Muster,NONE,2023,Optimium
Stack,NONE,2024,Optimium
Donatuz,NONE,2024,Optimium
Clique,NONE,2024,Optimium
Henez,NONE,2024,Optimium
PMON Chain,PMON,2024,Optimium
Bitlazer,NONE,2024,Optimium
inEVM,NONE,2024,Optimium
Onchain Chain,NONE,2024,Optimium
ApeChain,APE,2024,Optimium
BlockFit,NONE,2024,Optimium
ConWai,NONE,2024,Optimium
PlayBlock,NONE,2024,Optimium
Skynet,NONE,2025,Optimium
