Name,Year,Month
Ethereum,2022,3
Polygon POS,2022,3
BNB Chain,2022,3
Fantom,2022,3
Arbitrum One,2022,3
Optimism,2022,3
Avalanche,2022,3
Harmony One,2022,10
Aptos,2022,10
Metis,2023,1
Gnosis,2023,3
Polygon zkEVM,2023,4
zkSync,2023,4
Canto,2023,5
Tenet,2023,5
Arbitrum Nova,2023,6
Meter,2023,7
Base,2023,7
Linea,2023,7
Mantle,2023,7
Zora,2023,9
Loot,2023,9
opBNB,2023,10
Scroll,2023,10
TomoChain,2023,10
Telos,2023,10
Horizen EON,2023,10
Beam,2023,10
XPLA,2023,10
NEAR Protocol,2023,11
Manta Pacific,2023,11
Astar,2023,11
Public Goods Network,2023,11
Caldera,2023,11
RARI Chain,2024,1
Xai,2024,2
Japan Open Chain,2024,2
Blast,2024,3
inEVM,2024,3
Mode,2024,3
Fraxtal,2024,3
Masa,2024,4
HomeVerse,2024,4
BOB,2024,5
Merlin,2024,5
Humanity Protocol,2024,5
TRON,2024,5
SKALE,2024,5
Solana,2024,5
Sanko,2024,6
Ebi Chain,2024,6
Sei,2024,6
Taiko,2024,6
BounceBit,2024,6
Glue,2024,7
Gravity,2024,7
Flare,2024,7
LightLink,2024,9
Bitlayer,2024,9
Clearpool,2024,10
Abstract,2024,10
peaq,2024,10
Sonic,2024,10
Unichain,2024,10
Movement,2024,10
initia,2024,10
World Chain,2024,10
ApeChain,2024,10
Hedera,2024,10
Lisk,2024,11
Corn,2024,12
Degen Chain,2024,12
Vana,2024,12
Ink,2024,12
Sophon,2024,12
Swell,2024,12
Superposition,2025,1
Soneium,2025,1
Cronos,2025,1
Flow,2025,2
Story,2025,2
Berachain,2025,2
Monad,2025,2
Rootstock,2025,2
Hyperliquid,2025,2
AltLayer,2025,3
Nibiru,2025,3
