Name,Year,Month
Ethereum,2021,12
BNB Chain,2021,12
Solana,2021,12
Polygon,2021,12
Terra,2021,12
Avalanche,2021,12
Oasis,2022,5
Fantom,2022,5
Karura,2022,6
Celo,2022,6
Terra 2.0,2022,6
Aurora,2022,7
Klaytn,2022,8
Moonbeam,2022,9
Algorand,2022,10
Aptos,2022,10
XPLA,2022,10
Arbitrum One,2022,11
Injective,2022,12
Acala,2023,2
Optimism,2023,2
Sui,2023,5
NEAR Protocol,2023,5
Cosmos,2023,7
Base,2023,8
Osmosis,2023,8
Evmos EVM,2023,12
Unichain,2024,10
Ink,2024,11
World Chain,2024,12
Berachain,2024,12
Hyperliquid,2025,1
Sonic,2025,1
AltLayer,2025,1
FogoChain,2025,3
