Project,Fundraise,Pre-valuation,Stage,Investors,Category,Date,Year,Month,Quarter,Valuation_Multiple
Camp Network,25.0,250.0,Series A,Blockchain Capital,Layer-2,2025-04-29,2025,2025-04,2025Q2,10.0
Camp Network,25.0,250.0,Series A,1kx,Layer-2,2025-04-29,2025,2025-04,2025Q2,10.0
Camp Network,25.0,250.0,Series A,OKX Ventures,Layer-2,2025-04-29,2025,2025-04,2025Q2,10.0
Camp Network,25.0,250.0,Series A,Lattice Capital,Layer-2,2025-04-29,2025,2025-04,2025Q2,10.0
Camp Network,25.0,250.0,Series A,Paper Ventures,Layer-2,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Andreessen Horowitz (a16z),Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,1kx,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Hack VC,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,P2 Ventures,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,MH Ventures,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Finality Capital Partners,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Sreeram Kannan,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Symbolic Capital,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Miden,25.0,250.0,Seed Round,Rune Christensen,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.0
Unto,14.0,144.0,Funding Round,Electric Capital,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.285714285714286
Unto,14.0,144.0,Funding Round,Framework Ventures,Blockchain,2025-04-29,2025,2025-04,2025Q2,10.285714285714286
ROVR,3.0,26.0,Seed Round,Borderless Capital,Infrastructure,2025-04-29,2025,2025-04,2025Q2,8.666666666666666
ROVR,3.0,26.0,Seed Round,GEODNET,Infrastructure,2025-04-29,2025,2025-04,2025Q2,8.666666666666666
WineFi,2.0,20.0,Seed Round,SFC Capital,Blockchain Service,2025-04-26,2025,2025-04,2025Q2,10.0
WineFi,2.0,20.0,Seed Round,Coterie Holdings,Blockchain Service,2025-04-26,2025,2025-04,2025Q2,10.0
Magicblock,8.0,75.0,Seed Round,Lightspeed Venture Partners,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
Magicblock,8.0,75.0,Seed Round,Mechanism Capital,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
Magicblock,8.0,75.0,Seed Round,Delphi Ventures,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
Magicblock,8.0,75.0,Seed Round,Robot Ventures,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
Magicblock,8.0,75.0,Seed Round,chainyoda.eth,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
Magicblock,8.0,75.0,Seed Round,Matt Sorg,Infrastructure,2025-04-25,2025,2025-04,2025Q2,9.375
