Project,Fundraise,Pre-valuation,Stage,Investors,Category,Date,Year
Camp Network,25,250,Series A,Blockchain Capital,Layer-2,4/29/2025,2025
Camp Network,25,250,Series A,1kx,Layer-2,4/29/2025,2025
Camp Network,25,250,Series A,OKX Ventures,Layer-2,4/29/2025,2025
Camp Network,25,250,Series A,Lattice Capital,Layer-2,4/29/2025,2025
Camp Network,25,250,Series A,Paper Ventures,Layer-2,4/29/2025,2025
Miden,25,250,Seed Round,Andreessen Horowitz (a16z),Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,1kx,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,Hack VC,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,P2 Ventures,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,MH Ventures,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,Finality Capital Partners,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,Sreeram Kannan,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,Symbolic Capital,Blockchain,4/29/2025,2025
Miden,25,250,Seed Round,Rune Christensen,Blockchain,4/29/2025,2025
Unto,14,144,Funding Round,Electric Capital,Blockchain,4/29/2025,2025
Unto,14,144,Funding Round,Framework Ventures,Blockchain,4/29/2025,2025
ROVR,3,26,Seed Round,Borderless Capital,Infrastructure,4/29/2025,2025
ROVR,3,26,Seed Round,GEODNET,Infrastructure,4/29/2025,2025
WineFi,2,20,Seed Round,SFC Capital,Blockchain Service,4/26/2025,2025
WineFi,2,20,Seed Round,Coterie Holdings,Blockchain Service,4/26/2025,2025
Magicblock,8,75,Seed Round,Lightspeed Venture Partners,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Mechanism Capital,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Delphi Ventures,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Robot Ventures,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,chainyoda.eth,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Matt Sorg,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Equilibrium Ventures,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Maven 11 Capital,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Anatoly Yakovenko,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Mert Mumtaz,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Tristan Yver,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Pivot Global,Infrastructure,4/25/2025,2025
Magicblock,8,75,Seed Round,Theo Gonella,Infrastructure,4/25/2025,2025
Nous Research,20,200,Seed Round,Delphi Digital (Delphi Labs),Artificial Intelligence,4/25/2025,2025
Nous Research,20,200,Seed Round,Distributed Global,Artificial Intelligence,4/25/2025,2025
Nous Research,20,200,Seed Round,North Island Ventures,Artificial Intelligence,4/25/2025,2025
Nous Research,50,"1,000",Series A,Paradigm,Artificial Intelligence,4/25/2025,2025
Theo,20,200,Funding Round,Hack VC,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Manifold Trading,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Amber Group,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Selini Capital,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Mirana Ventures,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,SCB Limited,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Metalayer Ventures,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Anthos Capital,DeFi,4/24/2025,2025
Theo,20,200,Funding Round,MEXC Global (Privcode Capital),DeFi,4/24/2025,2025
Theo,20,200,Funding Round,Flowdesk,DeFi,4/24/2025,2025
Catalysis,1,13,Pre-seed,Crypto Times,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Richard Malone,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,FunFair Ventures,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Cosmostation,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,SpaceshipDAO,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Hashed Emergent,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Presto Labs,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Eric Ashdown,Infrastructure,4/24/2025,2025
Catalysis,1,13,Pre-seed,Dhivesh Govender,Infrastructure,4/24/2025,2025
Inco Network,5,50,Strategic Round,1kx,Blockchain,4/24/2025,2025
Inco Network,5,50,Strategic Round,a16z crypto CSX,Blockchain,4/24/2025,2025
Inco Network,5,50,Strategic Round,Coinbase Ventures,Blockchain,4/24/2025,2025
Inco Network,5,50,Strategic Round,South Park Commons,Blockchain,4/24/2025,2025
Inco Network,5,50,Strategic Round,Script Capital,Blockchain,4/24/2025,2025
Inco Network,5,50,Strategic Round,Orange DAO,Blockchain,4/24/2025,2025
Securitize,400,"4,000",Funding Round,Mantle,NA,4/24/2025,2025
MASK,5,50,Funding Round,DWF Labs,Social,4/23/2025,2025
Symbiotic,29,290,Series A,Pantera Capital,Liquid Staking Protocols,4/23/2025,2025
Symbiotic,29,290,Series A,Coinbase Ventures,Liquid Staking Protocols,4/23/2025,2025
ANLOG,15,150,Funding Round,Bolts Capital,Infrastructure,4/22/2025,2025
Tally,8,80,Series A,Blockchain Capital,Governance,4/22/2025,2025
Tally,8,80,Series A,AppWorks,Governance,4/22/2025,2025
Tally,8,80,Series A,BitGo,Governance,4/22/2025,2025
Arch Network,13,200,Series A,Pantera Capital,Infrastructure,4/22/2025,2025
Inflow,1,11,Pre-seed,Alliance,Blockchain Service,4/22/2025,2025
Inflow,1,11,Pre-seed,Gnosis,Blockchain Service,4/22/2025,2025
Inflow,1,11,Pre-seed,Rockstart,Blockchain Service,4/22/2025,2025
Consensus Value Creation,20,200,Strategic Round,Paradigm,Blockchain Service,4/20/2025,2025
Planck Network,200,"2,000",Funding Round,Rollman Management,Modular Blockchain,4/18/2025,2025
ZND,20,200,Funding Round,Rollman Management,DeFi,4/17/2025,2025
Goodfire,50,500,Series A,Lightspeed Venture Partners,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,Wing VC,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,B Capital Group,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,Menlo Ventures,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,Anthropic,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,Work-Bench,Artificial Intelligence,4/17/2025,2025
Goodfire,50,500,Series A,South Park Commons,Artificial Intelligence,4/17/2025,2025
Resolv Labs,10,100,Seed Round,Arrington XRP Capital,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,Coinbase Ventures,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,gumi Cryptos Capital,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,Animoca Brands,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,Robot Ventures,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,Maven 11 Capital,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,No Limit Holdings,DeFi,4/16/2025,2025
Resolv Labs,10,100,Seed Round,SCB Limited,DeFi,4/16/2025,2025
WLFI,25,250,Funding Round,DWF Labs,DeFi,4/16/2025,2025
ORO,6,60,Seed Round,a16z crypto CSX,Blockchain Service,4/16/2025,2025
ORO,6,60,Seed Round,Delphi Ventures,Blockchain Service,4/16/2025,2025
ORO,6,60,Seed Round,NEAR Foundation,Blockchain Service,4/16/2025,2025
ORO,6,60,Seed Round,Orange DAO,Blockchain Service,4/16/2025,2025
ORO,6,60,Seed Round,Ocular VC,Blockchain Service,4/16/2025,2025
ORO,6,60,Seed Round,0G Labs,Blockchain Service,4/16/2025,2025
Glider,4,40,Funding Round,a16z crypto CSX,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,Coinbase Ventures,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,Selini Capital,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,Uniswap,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,GSR Markets (GSR),DeFi,4/16/2025,2025
Glider,4,40,Funding Round,MoonPay,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,Anagram Crypto,DeFi,4/16/2025,2025
Glider,4,40,Funding Round,GenerativeVentures,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Accomplice,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Amber Group,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Nascent,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,DCF GOD,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Figment Capital,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Will Price,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Joshua Lim,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Michael Ng,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Jai Bhavnani,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,STIX,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,Guy Young,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,SCB Limited,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,JPEG Trading,DeFi,4/16/2025,2025
Neutrl,5,50,Funding Round,jez,DeFi,4/16/2025,2025
Optimum,11,110,Seed Round,1kx,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,CMT Digital,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,The Spartan Group,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,CMS Holdings,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Animoca Brands,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,NGC Ventures,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Robot Ventures,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,SNZ Holding,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,LongHash Ventures,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Big Brain Holdings,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,GSR Markets (GSR),Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Caladan (Alphalab),Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Finality Capital Partners,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Reforge,Infrastructure,4/15/2025,2025
Optimum,11,110,Seed Round,Triton Capital,Infrastructure,4/15/2025,2025
Rekord AG,5,45,Seed Round,NA,Blockchain Service,4/15/2025,2025
Embr.fun,2,18,Funding Round,Robot Ventures,Meme,4/15/2025,2025
Embr.fun,2,18,Funding Round,Lattice Capital,Meme,4/15/2025,2025
Embr.fun,2,18,Funding Round,Daryl Lau,Meme,4/15/2025,2025
Embr.fun,2,18,Funding Round,Eugene Chen,Meme,4/15/2025,2025
ZenMEV,140,"1,400",Strategic Round,VC VentureX,DeFi,4/14/2025,2025
BGSC,12,120,Series A,DuckDAO,NA,4/11/2025,2025
BGSC,12,120,Series A,BullPerks,NA,4/11/2025,2025
BGSC,12,120,Series A,MaxxCapital,NA,4/11/2025,2025
BGSC,12,120,Series A,Castrum Capital,NA,4/11/2025,2025
BGSC,12,120,Series A,Becker Ventures,NA,4/11/2025,2025
OpenZK,6,60,Funding Round,Animoca Brands,Infrastructure,4/11/2025,2025
OpenZK,6,60,Funding Round,Sovereign Trust,Infrastructure,4/11/2025,2025
OpenZK,6,60,Funding Round,Coinstore,Infrastructure,4/11/2025,2025
APX Lending,20,200,Funding Round,Cypress Hills,Finance,4/11/2025,2025
Meanwhile,40,190,Series A,Framework Ventures,Insurance,4/10/2025,2025
Meanwhile,40,190,Series A,Fulgur Ventures,Insurance,4/10/2025,2025
Meanwhile,40,190,Series A,Wences Casares,Insurance,4/10/2025,2025
Wunder.Social,50,500,Funding Round,Rollman Management,Social,4/9/2025,2025
Solix,30,295,Funding Round,Eclip Foundation,DePIN,4/9/2025,2025
Lyzi,1,14,Seed Round,Tezos Foundation,Wallet,4/8/2025,2025
Lyzi,1,14,Seed Round,NYX Ventures,Wallet,4/8/2025,2025
Lyzi,1,14,Seed Round,Jean-Luc Bernard,Wallet,4/8/2025,2025
Lyzi,1,14,Seed Round,Christopher Grilhaut des Fontaines,Wallet,4/8/2025,2025
Octane,7,68,Seed Round,Balaji Srinivasan,Blockchain Service,4/8/2025,2025
Octane,7,68,Seed Round,Sina Habibian,Blockchain Service,4/8/2025,2025
Octane,7,68,Seed Round,Winklevoss Capital,Blockchain Service,4/8/2025,2025
Octane,7,68,Seed Round,Archetype,Blockchain Service,4/8/2025,2025
Octane,7,68,Seed Round,Gemini Frontier Fund,Blockchain Service,4/8/2025,2025
Octane,7,68,Seed Round,Druid Ventures,Blockchain Service,4/8/2025,2025
